"date_start","date_end","date_published","year","week","tests_new","tests_residents_new","tests_nonresidents_new","tests_diagnostic_new","tests_diagnostic_residents_new","tests_diagnostic_nonresidents_new","tests_lst_new","tests_lst_residents_new","tests_lst_nonresidents_new","tests_airport_new","tests_airport_residents_new","tests_airport_nonresidents_new","tests_tracing_new","tests_tracing_residents_new","tests_tracing_nonresidents_new","tests_residents_new_prop","tested_persons_new","tested_persons_residents_new_prop","cases_new","cases_residents_new","cases_nonresidents_new","cases_residents_new_prop","cases_diagnostic_new","cases_diagnostic_residents_new","cases_diagnostic_nonresidents_new","cases_lst_new","cases_lst_residents_new","cases_lst_nonresidents_new","cases_airport_new","cases_airport_residents_new","cases_airport_nonresidents_new","cases_tracing_new","cases_tracing_residents_new","cases_tracing_nonresidents_new","cases_new_symptomatic_prop","cases_new_residents_symptomatic_prop","cases_new_travel_prop","cases_new_family_prop","cases_new_party_prop","cases_new_cluster_prop","cases_new_unknown_residents_prop","cases_new_travel_residents_prop","cases_new_family_residents_prop","cases_new_party_residents_prop","cases_new_cluster_residents_prop","cases_new_professionnel_residents_prop","cases_new_education_residents_prop","cases_new_aidesoins_residents_prop","cases_new_colocation_residents_prop","cases_new_actloisir_residents_prop","cases_new_prop_f","cases_new_prop_m","cases_new_prop_x","cases_new_prop_u","cases_new_residents_prop_f","cases_new_residents_prop_m","cases_new_residents_prop_x","cases_new_residents_prop_u","cases_new_age_mean","cases_new_residents_age_mean","tracing_contacts","tracing_isolation","tracing_quarantines","tracing_contacts_residents","tracing_isolation_residents","tracing_quarantines_residents","active_change","hospital_admissions_new","hospital_discharges_new","hospital_total_age_mean","hospital_normal_duration","hospital_intensive_duration","deaths_new","deaths_new_hospital","deaths_new_shpa","deaths_new_home","deaths_new_mean_age","vaccination_persons","vaccination_persons_new"
"2020-04-27","2020-05-03","2020-07-01T17:27:01.000+02:00",2020,18,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,25,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,
"2020-05-04","2020-05-10","2020-07-01T17:27:01.000+02:00",2020,19,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,29,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,
"2020-05-11","2020-05-17","2020-07-01T17:27:01.000+02:00",2020,20,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,25,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,
"2020-05-18","2020-05-24","2020-07-10T17:00:00.000+02:00",2020,21,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,34,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,
"2020-05-25","2020-05-31","2020-07-10T17:00:00.000+02:00",2020,22,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,11,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
"2020-06-01","2020-06-07","2020-07-10T17:00:00.000+02:00",2020,23,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,8,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,
"2020-06-08","2020-06-14","2020-07-10T17:00:00.000+02:00",2020,24,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,9,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,
"2020-06-15","2020-06-21","2020-07-10T17:00:00.000+02:00",2020,25,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,29,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,,
"2020-06-22","2020-06-28","2020-07-10T17:00:00.000+02:00",2020,26,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,56,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,1033,,,,,,,,,,,,,,,,,,
"2020-06-29","2020-07-05","2020-07-10T17:00:00.000+02:00",2020,27,49388,,,,,,,,,,,,,,,0.887,49216,0.887,289,,,0.841,,,,36,,,11,,,166,,,0.62,,,,,,,,,,,,,,,,0.408,0.592,,,,,,,34.1,,1963,,,,,,184,17,23,,,,0,,,,,,
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,52843,,,,,,,,,,,,,,,0.821,52569,0.82,402,,,0.861,,,,67,,,6,,,162,,,0.63,,,,,,,,,,,,,,,,0.499,0.501,,,,,,,35.9,,2039,,,,,,273,38,23,,,,1,,,,,,
